pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
82.2956,-98.242,0.0,bottom,C10,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,220nF,smt
86.6416,-63.3422,180.0,top,C11,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt
86.7514,-48.6937,0.0,top,C12,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt
114.5654,-51.0276,0.0,top,C13,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt
114.6109,-51.0625,0.0,bottom,C14,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt
119.2242,-121.2731,90.0,bottom,C2,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt
122.7673,-104.5307,0.0,top,C5,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pF,smt
122.8311,-89.4058,0.0,top,C7,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pF,smt
103.0829,-79.8684,0.0,bottom,C8,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,220nF,smt
102.9627,-94.197,0.0,bottom,C9,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,220nF,smt
133.0768,-85.3437,0.0,top,D1,,,LED_D3.0mm,LED,tht
97.844,-79.9004,0.0,top,D3,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N4007,tht
102.2387,-109.9216,0.0,top,D4,,,D_DO-201_P15.24mm_Horizontal,STPS3150RL,tht
97.7067,-94.202,0.0,top,D5,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N4007,tht
77.1442,-98.3001,0.0,top,D6,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N4007,tht
102.2387,-125.9408,0.0,top,D7,,,D_DO-201_P15.24mm_Horizontal,STPS3150RL,tht
102.2387,-142.0115,0.0,top,D8,,,D_DO-201_P15.24mm_Horizontal,STPS3150RL,tht
138.2738,-73.0462,-90.0,bottom,D9,"PESD5V0L2UU,115",,SOT65P210X110-3N,"PESD5V0L2UU,115",smt
123.1668,-110.0221,0.0,top,J1,,,PinHeader_1x06_P2.54mm_Vertical,TTL_Programmer,tht
125.9071,-73.924,-90.0,top,J2,,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht
131.5524,-66.2421,0.0,top,J3,,,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",Power_And_CAN,tht
106.6186,-38.6336,-90.0,top,Powerboard1,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
132.8771,-60.4984,0.0,top,Q1,IRF9Z34NPBF,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht
99.4464,-137.1923,0.0,top,Q10,IRF9Z34NPBF,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht
109.7226,-73.6959,0.0,top,Q2,,,TO-92_Inline,2N7000,tht
96.0168,-108.7564,-90.0,top,Q3,,,TO-92_Inline,2N7000,tht
99.4464,-105.1593,0.0,top,Q4,IRF9Z34NPBF,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht
109.6098,-88.4717,0.0,top,Q5,,,TO-92_Inline,2N7000,tht
88.8957,-92.5027,0.0,top,Q6,,,TO-92_Inline,2N7000,tht
96.0168,-124.7305,-90.0,top,Q7,,,TO-92_Inline,2N7000,tht
99.4464,-120.7395,0.0,top,Q8,IRF9Z34NPBF,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht
96.0168,-140.7417,-90.0,top,Q9,,,TO-92_Inline,2N7000,tht
134.3691,-58.1485,0.0,bottom,R1,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
111.1208,-104.8238,-90.0,bottom,R10,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100k,smt
109.6184,-110.112,180.0,bottom,R11,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
102.8503,-91.7208,0.0,bottom,R12,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470,smt
109.373,-91.791,0.0,bottom,R13,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,5k,smt
101.8503,-88.0705,-90.0,bottom,R14,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,5k,smt
104.2775,-88.0736,-90.0,bottom,R15,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,5k,smt
82.2242,-95.8187,0.0,bottom,R16,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470,smt
89.6355,-95.6827,0.0,bottom,R17,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,5k,smt
80.9274,-92.1681,-90.0,bottom,R18,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,5k,smt
