pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
137.1546,-117.1997,180.0,bottom,C1,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
152.8357,-117.1843,0.0,bottom,C2,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
152.8219,-117.1952,0.0,top,C3,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
158.2132,-117.1594,180.0,bottom,C4,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
158.2197,-117.145,180.0,top,C5,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
136.1393,-101.4318,180.0,bottom,C6,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
136.143,-103.9017,180.0,bottom,C7,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
168.204,-72.746,0.0,top,C8,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,22nF,smt,True
154.787,-69.755,180.0,bottom,D1,,SOT65P210X110-3N,"PESD5V0L2UU,115",smt,True
170.6322,-75.8312,180.0,top,D2,,D_DO-41_SOD81_P10.16mm_Horizontal,1N4007,tht,True
154.748,-66.3848,90.0,top,J1,,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",Power_And_CAN,tht,True
171.5946,-102.1056,90.0,top,J2,,TerminalBlock_Phoenix_MKDS-3-5-5.08_1x05_P5.08mm_Horizontal,Screw_Terminal_01x05,tht,True
146.2546,-120.7442,-90.0,top,J3,,PinHeader_1x06_P2.54mm_Vertical,TTL_Programmer,tht,True
146.5423,-72.757,-90.0,top,J4,,PinHeader_2x03_P2.54mm_Vertical_SMD,ICSP,smt,True
139.0496,-61.7385,90.0,top,J5,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht,True
135.9656,-94.8095,-90.0,top,NTC1,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,10k,tht,True
130.9763,-92.6026,180.0,top,Powerboard1,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht,True
136.586,-84.4236,90.0,top,Q1,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht,True
165.5522,-75.8312,180.0,bottom,Q10,,SOT-23,2N7002,smt,True
151.7581,-105.3238,180.0,bottom,Q2,,SOT-23,2N7002,smt,True
157.0299,-104.9668,0.0,top,Q3,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht,True
153.0389,-97.1151,180.0,bottom,Q4,,SOT-23,2N7002,smt,True
157.0299,-97.2157,0.0,top,Q5,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht,True
152.2037,-89.8124,180.0,bottom,Q6,,SOT-23,2N7002,smt,True
156.9614,-89.3264,0.0,top,Q7,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht,True
152.8391,-81.2933,180.0,bottom,Q8,,SOT-23,2N7002,smt,True
156.9168,-81.6004,0.0,top,Q9,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht,True
129.8143,-81.1293,180.0,bottom,R1,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
