designator,quantity,value,pack,mpn,mount_type
"C1, C6, C7",3,100nf,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,smt
"C2, C3, C4, C5",4,22pf,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,smt
C8,1,22nF,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
D1,1,"PESD5V0L2UU,115",SOT65P210X110-3N,,smt
"D2, D3, D4, D5, D6",5,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,,tht
J1,1,Power_And_CAN,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",,tht
J2,1,Screw_Terminal_01x05,TerminalBlock_Phoenix_MKDS-3-5-5.08_1x05_P5.08mm_Horizontal,,tht
J3,1,TTL_Programmer,PinHeader_1x06_P2.54mm_Vertical,,tht
J4,1,ICSP,PinHeader_2x03_P2.54mm_Vertical_SMD,,smt
J5,1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,,tht
NTC1,1,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,tht
Powerboard1,1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,,tht
Q1,1,IRF9Z34NPBF,TO254P469X1042X1967-3P,,tht
Q10,1,2N7002,SOT-23,,smt
"Q2, Q3, Q4, Q5",4,IRF510,TO254P465X1024X2050-3P,,tht
"R1, R3, R4, R5",4,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
"R10, R11, R12, R13, R14, R15, R20, R8, R9",9,1M,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R2,1,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R22,1,22k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R6,1,17k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,tht
R7,1,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,tht
Reset1,1,TS02-66-160-BK-260-LCR-D,TS0266160BK260LCRD,,tht
U2,1,ATmega328P-P,DIP-28_W7.62mm,,tht
U3,1,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,,smt
U4,1,MCP2551-I-SN,SOIC-8_3.9x4.9mm_P1.27mm,,smt
U5,1,3568,3568,,tht
"Y1, Y2",2,16MHz,Crystal_HC49-U_Vertical,,tht
