pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
137.1546,-117.1997,180.0,bottom,C1,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
155.762,-114.0083,0.0,bottom,C2,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
155.7495,-114.0148,0.0,top,C3,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
161.1395,-113.9834,180.0,bottom,C4,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
161.1495,-114.0025,180.0,top,C5,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
137.1536,-101.6457,180.0,bottom,C6,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
137.1573,-104.1156,180.0,bottom,C7,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
156.3314,-75.8236,180.0,bottom,D1,,SOT65P210X110-3N,"PESD5V0L2UU,115",smt,True
129.0233,-104.2533,-90.0,bottom,IC2,,SOIC127P600X175-14N,OPA4340UA,smt,True
157.148,-71.8728,90.0,top,J1,,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",Power_And_CAN,tht,True
170.699,-96.2121,90.0,top,J2,,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",Power_And_CAN,tht,True
146.2546,-120.7442,-90.0,top,J3,,PinHeader_1x06_P2.54mm_Vertical,TTL_Programmer,tht,True
146.0451,-72.807,-90.0,top,J4,,PinHeader_2x03_P2.54mm_Vertical_SMD,ICSP,smt,True
139.0496,-61.7385,90.0,top,J5,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht,True
170.718,-84.0223,90.0,top,J6,,TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,Screw_Terminal_01x02,tht,True
135.9656,-94.8095,-90.0,top,NTC1,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,10k,tht,True
130.9763,-92.6026,180.0,top,Powerboard1,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht,True
136.586,-84.4236,90.0,top,Q1,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht,True
129.8143,-81.1293,180.0,bottom,R1,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
122.2604,-78.8725,0.0,top,R10,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,47K,smt,True
122.3585,-82.5931,0.0,top,R11,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,47K,smt,True
117.1942,-82.5796,180.0,top,R12,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,47K,smt,True
117.0307,-78.9287,180.0,top,R13,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,47K,smt,True
163.121669,-100.494307,0.0,bottom,R14,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1k,smt,True
164.383854,-82.820428,0.0,bottom,R15,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1k,smt,True
144.9956,-101.059,-90.0,bottom,R2,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4.7k,smt,True
135.973,-90.6987,-90.0,bottom,R3,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
132.0964,-111.4623,-90.0,bottom,R4,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
144.703,-85.6468,90.0,bottom,R5,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
166.7991,-76.611,180.0,top,R6,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,17k,tht,True
139.1161,-58.2607,0.0,top,R7,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,120,tht,True
164.488988,-87.547934,0.0,bottom,R8,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1k,smt,True
164.128429,-95.803791,0.0,bottom,R9,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1k,smt,True
154.2744,-102.3352,180.0,top,RV1,,Potentiometer_Bourns_3296W_Vertical,200k,tht,True
154.2744,-95.8852,180.0,top,RV2,,Potentiometer_Bourns_3296W_Vertical,200k,tht,True
154.2744,-89.4352,180.0,top,RV3,,Potentiometer_Bourns_3296W_Vertical,200k,tht,True
154.2744,-82.9852,180.0,top,RV4,,Potentiometer_Bourns_3296W_Vertical,200k,tht,True
135.3853,-113.7525,180.0,top,Reset1,,TS0266160BK260LCRD,TS02-66-160-BK-260-LCR-D,tht,True
179.2705,-101.7662,180.0,top,U1,,3568,3568,tht,True
140.9295,-81.7618,0.0,top,U2,,DIP-28_W7.62mm,ATmega328P-P,tht,True
146.8051,-70.207,180.0,bottom,U3,,SOIC-18W_7.5x11.6mm_P1.27mm,MCP2515-xSO,smt,True
165.5938,-72.266,180.0,bottom,U4,,SOIC-8_3.9x4.9mm_P1.27mm,MCP2551-I-SN,smt,True
134.9995,-70.018,180.0,top,U5,,3568,3568,tht,True
156.1048,-118.178,0.0,top,Y1,,Crystal_HC49-U_Vertical,16MHz,tht,True
156.1297,-108.9236,0.0,top,Y2,,Crystal_HC49-U_Vertical,16MHz,tht,True
