designator,quantity,value,pack,mpn,mount_type
"C1, C2, C6, C7",4,22pf,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,smt
"C10, C8",2,0.1uF,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
C11,1,68uF,CP_Radial_D8.0mm_P5.00mm,,tht
C12,1,0.02uF,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
C13,1,1uF,CP_Radial_D4.0mm_P1.50mm,,tht
"C3, C4, C5",3,100nf,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,smt
C9,1,120uF,CP_Radial_D8.0mm_P5.00mm,,tht
D1,1,"PESD5V0L2UU,115",SOT65P210X110-3N,,smt
D2,1,1N5817,DIOAD1414W86L464D238,,tht
IC1,1,MAX764CPA+,DIP762W56P254L938H457Q8N,,tht
IC2,1,LM2917N-8_NOPB,DIP794W53P254L959H508Q8N,,tht
IC4,1,OPA2340UA_2K5,SOIC127P600X175-8N,,smt
J1,1,ICSP,PinHeader_2x03_P2.54mm_Vertical_SMD,,smt
J2,1,TTL_Programmer,PinHeader_1x06_P2.54mm_Vertical,,tht
"J3, J6",2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left,,smt
J4,1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,,tht
J9,1,Screw_Terminal_01x05,"TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal",,tht
L1,1,47uH,L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC,,tht
NTC1,1,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,tht
Powerboard1,1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,,tht
Q1,1,IRF9Z34NPBF,TO254P469X1042X1967-3P,,tht
"R1, R2, R5, R7, R8",5,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R10,1,120k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
"R11, R16",2,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R12,1,470,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R13,1,15k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
"R14, R15",2,47k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R3,1,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R4,1,17k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,tht
R6,1,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,tht
R9,1,22k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
RV1,1,100k,Potentiometer_Bourns_3296W_Vertical,,tht
Reset1,1,TS02-66-160-BK-260-LCR-D,TS0266160BK260LCRD,,tht
U1,1,ATmega328P-P,DIP-28_W7.62mm,,tht
U2,1,3568,3568,,tht
U3,1,MCP2551-I-SN,SOIC-8_3.9x4.9mm_P1.27mm,,smt
U4,1,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,,smt
"Y1, Y2",2,16MHz,Crystal_HC49-U_Vertical,,tht
