pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
142.7431,-122.8473,180.0,top,C1,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
148.9166,-89.9952,90.0,bottom,C10,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,0.1uF,smt,True
142.9087,-103.0829,-90.0,top,C11,,CP_Radial_D8.0mm_P5.00mm,68uF,tht,True
165.7808,-93.3174,0.0,bottom,C12,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,0.02uF,smt,True
154.1223,-108.7771,90.0,top,C13,,CP_Radial_D4.0mm_P1.50mm,1uF,tht,True
142.7408,-122.8413,180.0,bottom,C2,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
134.5,-133.841,-90.0,bottom,C3,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
143.8522,-71.0495,-90.0,bottom,C4,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
147.5992,-70.9756,-90.0,bottom,C5,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
142.1592,-77.7287,0.0,top,C6,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
147.1801,-77.7287,180.0,top,C7,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
148.8401,-96.6321,0.0,bottom,C8,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,0.1uF,smt,True
150.8432,-99.5564,-90.0,top,C9,,CP_Radial_D8.0mm_P5.00mm,120uF,tht,True
151.634,-70.7781,180.0,bottom,D1,,SOT65P210X110-3N,"PESD5V0L2UU,115",smt,True
137.5809,-88.3139,-90.0,top,D2,,DIOAD1414W86L464D238,1N5817,tht,True
148.3819,-92.5017,0.0,top,IC1,,DIP762W56P254L938H457Q8N,MAX764CPA+,tht,True
165.9777,-94.5759,0.0,top,IC2,,DIP794W53P254L959H508Q8N,LM2917N-8_NOPB,tht,True
156.767,-102.2799,180.0,bottom,IC4,,SOIC127P600X175-8N,OPA2340UA_2K5,smt,True
134.2741,-125.096,0.0,top,J1,,PinHeader_2x03_P2.54mm_Vertical_SMD,ICSP,smt,True
154.23,-133.6486,-90.0,top,J2,,PinHeader_1x06_P2.54mm_Vertical,TTL_Programmer,tht,True
140.1346,-84.112,0.0,top,J3,,PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left,Conn_01x02,smt,True
134.5446,-69.3623,-90.0,top,J4,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht,True
156.9679,-91.9042,0.0,top,J6,,PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left,Conn_01x02,smt,True
155.2463,-79.6181,90.0,top,J9,,"TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal",Screw_Terminal_01x05,tht,True
141.253,-90.0238,-90.0,top,L1,,L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC,47uH,tht,True
132.3327,-102.2971,0.0,top,NTC1,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,10k,tht,True
128.3491,-103.5651,180.0,top,Powerboard1,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht,True
133.8812,-95.2964,90.0,top,Q1,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht,True
134.2741,-125.096,180.0,bottom,R1,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
121.3339,-89.7143,0.0,top,R10,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,120k,smt,True
157.4594,-108.8043,0.0,bottom,R11,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100k,smt,True
172.1778,-97.462,-90.0,top,R12,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470,smt,True
121.208,-93.6501,0.0,top,R13,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,15k,smt,True
164.4052,-101.202,0.0,top,R14,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,47k,smt,True
164.4749,-104.8667,0.0,top,R15,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,47k,smt,True
165.9777,-99.6559,-90.0,bottom,R16,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100k,smt,True
128.3222,-93.9511,-90.0,bottom,R2,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
150.1236,-115.3962,-90.0,bottom,R3,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4.7k,smt,True
141.1654,-68.9214,-90.0,top,R4,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,17k,tht,True
138.4585,-71.4385,90.0,bottom,R5,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
134.7315,-72.9331,180.0,top,R6,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,120,tht,True
127.4611,-108.0017,180.0,bottom,R7,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
168.5266,-88.2633,180.0,bottom,R8,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
163.4921,-88.2736,180.0,bottom,R9,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,22k,smt,True
166.8644,-84.4007,0.0,top,RV1,,Potentiometer_Bourns_3296W_Vertical,100k,tht,True
137.8901,-136.1715,180.0,top,Reset1,,TS0266160BK260LCRD,TS02-66-160-BK-260-LCR-D,tht,True
132.2962,-119.2098,90.0,top,U1,,DIP-28_W7.62mm,ATmega328P-P,tht,True
122.551,-84.3805,0.0,top,U2,,3568,3568,tht,True
146.417,-71.5449,0.0,top,U3,,SOIC-8_3.9x4.9mm_P1.27mm,MCP2551-I-SN,smt,True
143.0182,-80.5027,180.0,bottom,U4,,SOIC-18W_7.5x11.6mm_P1.27mm,MCP2515-xSO,smt,True
153.789,-123.2844,180.0,top,Y1,,Crystal_HC49-U_Vertical,16MHz,tht,True
150.0375,-84.4346,0.0,top,Y2,,Crystal_HC49-U_Vertical,16MHz,tht,True
