pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
137.1546,-117.1997,180.0,bottom,C1,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
178.7666,-85.0245,0.0,bottom,C10,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt,True
178.7824,-88.2598,180.0,bottom,C11,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.33uF,smt,True
166.9995,-91.0086,-90.0,bottom,C12,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.33uF,smt,True
179.0811,-98.8786,0.0,bottom,C13,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt,True
165.8854,-99.864,180.0,bottom,C14,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.33uF,smt,True
169.2516,-104.3931,-90.0,bottom,C15,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.33uF,smt,True
172.7406,-110.148,180.0,bottom,C16,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt,True
117.4122,-86.0576,180.0,bottom,C17,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22uf,smt,True
144.0122,-119.6095,-90.0,bottom,C2,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
144.0057,-119.597,-90.0,top,C3,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
149.1469,-119.5239,180.0,bottom,C4,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
149.1569,-119.543,180.0,top,C5,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
136.1393,-101.4318,180.0,bottom,C6,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
136.143,-103.9017,180.0,bottom,C7,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
167.1534,-75.1899,90.0,bottom,C8,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.33uF,smt,True
172.4328,-73.8487,180.0,bottom,C9,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.33uF,smt,True
156.3314,-75.8236,180.0,bottom,D1,,SOT65P210X110-3N,"PESD5V0L2UU,115",smt,True
179.6533,-79.8111,180.0,bottom,IC1,,SOP65P778X199-20N,MAX31865AAP+,smt,True
179.3146,-93.6244,180.0,bottom,IC2,,SOP65P778X199-20N,MAX31865AAP+,smt,True
177.0139,-104.4095,180.0,bottom,IC3,,SOP65P778X199-20N,MAX31865AAP+,smt,True
118.7791,-95.298,0.0,bottom,IC4,,SOIC127P600X175-16N,CD74HC4050ME4,smt,True
119.0669,-81.0233,0.0,bottom,IC5,,SOT230P700X180-4N,AZ1117CH2-3.3TRG1,smt,True
157.148,-71.8728,90.0,top,J1,,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",Power_And_CAN,tht,True
154.1474,-96.7045,90.0,top,J10,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht,True
152.8674,-108.2594,90.0,top,J11,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht,True
161.0474,-103.6931,0.0,top,J12,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht,True
152.9033,-102.9799,90.0,top,J13,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht,True
169.7408,-86.0179,90.0,top,J14,,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",RTD1,tht,True
169.7776,-97.7388,90.0,top,J15,,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",RTD2,tht,True
166.5721,-110.2066,90.0,top,J16,,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",RTD3,tht,True
154.4271,-80.5207,90.0,top,J2,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht,True
146.7673,-124.0947,-90.0,top,J3,,PinHeader_1x06_P2.54mm_Vertical,TTL_Programmer,tht,True
146.0451,-72.807,-90.0,top,J4,,PinHeader_2x03_P2.54mm_Vertical_SMD,ICSP,smt,True
139.0496,-61.7385,90.0,top,J5,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht,True
162.9051,-80.6644,0.0,top,J6,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht,True
154.0918,-85.9811,90.0,top,J7,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht,True
154.0995,-91.5261,90.0,top,J8,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht,True
163.5222,-91.904,0.0,top,J9,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht,True
135.9656,-94.8095,-90.0,top,NTC1,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,10k,tht,True
130.9763,-87.5526,0.0,top,Powerboard1,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht,True
136.586,-84.4236,90.0,top,Q1,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht,True
129.8143,-81.1293,180.0,bottom,R1,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
183.193977,-102.609766,-90.0,top,R10,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,430,smt,True
144.9956,-101.059,-90.0,bottom,R2,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4.7k,smt,True
135.973,-90.6987,-90.0,bottom,R3,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
132.0964,-111.4623,-90.0,bottom,R4,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
144.703,-85.6468,90.0,bottom,R5,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
163.8817,-75.7434,180.0,top,R6,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,17k,tht,True
139.1161,-58.2607,0.0,top,R7,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,120,tht,True
178.719968,-76.516523,0.0,top,R8,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,430,smt,True
183.359918,-93.893572,-90.0,top,R9,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,430,smt,True
135.3853,-113.7525,180.0,top,Reset1,,TS0266160BK260LCRD,TS02-66-160-BK-260-LCR-D,tht,True
140.9295,-81.7618,0.0,top,U2,,DIP-28_W7.62mm,ATmega328P-P,tht,True
146.8051,-70.207,180.0,bottom,U3,,SOIC-18W_7.5x11.6mm_P1.27mm,MCP2515-xSO,smt,True
165.9548,-69.674,180.0,bottom,U4,,SOIC-8_3.9x4.9mm_P1.27mm,MCP2551-I-SN,smt,True
134.9995,-70.018,180.0,top,U5,,3568,3568,tht,True
134.2072,-119.3541,0.0,top,Y1,,Crystal_HC49-U_Vertical,16MHz,tht,True
157.3083,-119.543,0.0,top,Y2,,Crystal_HC49-U_Vertical,16MHz,tht,True
