pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
134.3152,-117.497,180.0,bottom,C1,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
169.5846,-108.2637,180.0,bottom,C10,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22nF,smt,True
129.412464,-97.474229,180.0,bottom,C11,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1uF,smt,True
152.6336,-115.5859,0.0,bottom,C2,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
152.6211,-115.5924,0.0,top,C3,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
158.0111,-115.561,180.0,bottom,C4,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
158.0211,-115.5801,180.0,top,C5,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pf,smt,True
149.8014,-62.5431,-90.0,bottom,C6,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
152.2713,-62.5394,-90.0,bottom,C7,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
121.705536,-77.433007,180.0,bottom,C8,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,10uF,smt,True
117.397143,-78.765371,90.0,bottom,C9,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22uF,smt,True
167.210202,-69.929772,0.0,bottom,D1,,SOT65P210X110-3N,"PESD5V0L2UU,115",smt,True
121.2789,-102.7221,180.0,bottom,IC1,,SOIC127P600X175-8N,OPA2340UA_2K5,smt,True
121.7975,-81.1349,180.0,bottom,IC2,,SOT95P270X145-5N,MCP1804T-A002I_OT,smt,True
149.3568,-92.5027,180.0,bottom,IC3,,SOP50P490X110-10N,ADS1115IDGST,smt,True
154.2126,-88.411,-90.0,top,IC4,,24PCDFA6D,24PCDFA6D,tht,True
154.2126,-103.2456,-90.0,top,IC6,,24PCDFA6D,24PCDFA6D,tht,True
160.1297,-84.6991,180.0,bottom,IC8,,SOIC127P600X175-8N,INA849DR,smt,True
160.0999,-99.4672,180.0,bottom,IC9,,SOIC127P600X175-8N,INA849DR,smt,True
161.8788,-75.0888,90.0,top,J1,,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",Power_And_CAN,tht,True
146.2546,-120.7442,-90.0,top,J3,,PinHeader_1x06_P2.54mm_Vertical,TTL_Programmer,tht,True
151.8156,-71.1212,-90.0,top,J4,,PinHeader_2x03_P2.54mm_Vertical_SMD,ICSP,smt,True
157.311,-62.6195,90.0,top,J5,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht,True
145.6369,-114.1997,-90.0,top,NTC1,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,10k,tht,True
130.9763,-87.5526,0.0,top,Powerboard1,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht,True
142.661,-73.2005,90.0,top,Q1,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht,True
139.1145,-74.0235,-90.0,bottom,R1,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
138.6061,-83.5166,0.0,bottom,R12,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
138.5389,-79.8448,0.0,bottom,R13,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
159.993,-79.3697,0.0,top,R14,,RESAD1550W60L630D230,YR1B665RCC,tht,True
157.6471,-104.7982,0.0,top,R15,,RESAD1550W60L630D230,YR1B665RCC,tht,True
123.986,-101.4752,0.0,top,R16,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,120k,smt,True
129.1186,-101.4479,0.0,top,R17,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,15k,smt,True
117.0952,-101.7958,0.0,top,R18,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,47k,smt,True
117.0899,-105.4681,0.0,top,R19,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1M,smt,True
138.5491,-97.4058,-90.0,bottom,R2,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4.7k,smt,True
145.6443,-110.0889,-90.0,bottom,R3,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
126.958,-111.382,-90.0,bottom,R4,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
146.0604,-67.5671,90.0,top,R5,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
