pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
134.7505,-78.6225,0.0,top,C1,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22nf,smt,True
134.7571,-78.6212,0.0,bottom,C2,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22nf,smt,True
118.7504,-92.934,-90.0,top,C3,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
107.3557,-63.1569,-90.0,bottom,C4,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
111.1027,-63.083,-90.0,bottom,C5,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nf,smt,True
140.0154,-78.631,180.0,bottom,C6,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22nf,smt,True
140.0214,-78.6336,180.0,top,C7,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22nf,smt,True
140.2698,-62.8344,180.0,bottom,D1,,SOT65P210X110-3N,"PESD5V0L2UU,115",smt,True
137.5433,-90.6621,0.0,top,J1,,PinHeader_2x03_P2.54mm_Vertical_SMD,ICSP,smt,True
131.583,-97.4726,-90.0,top,J2,,PinHeader_1x06_P2.54mm_Vertical,TTL_Programmer,tht,True
148.2775,-69.8053,-90.0,top,J4,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht,True
144.3379,-65.725,90.0,top,J5,,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",Power_And_CAN,tht,True
145.6707,-73.7502,0.0,top,J6,,PinHeader_2x08_P2.54mm_Vertical,Conn_02x08_Odd_Even,tht,True
108.2457,-53.8005,0.0,top,NTC1,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,10k,tht,True
118.9469,-71.3482,0.0,top,Powerboard1,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht,True
138.6917,-58.745,90.0,top,Q1,,TO254P469X1042X1967-3P,IRF9Z34NPBF,tht,True
137.5433,-90.6621,180.0,bottom,R1,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
143.2011,-53.253,-90.0,bottom,R2,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
126.4594,-77.1067,90.0,bottom,R3,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4.7k,smt,True
133.2127,-66.8761,-90.0,top,R4,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,17k,tht,True
102.3829,-64.8116,90.0,bottom,R5,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
136.841,-63.5835,180.0,top,R6,,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,120,tht,True
109.298,-57.9004,0.0,top,R7,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
114.7642,-98.1316,180.0,top,Reset1,,TS0266160BK260LCRD,TS02-66-160-BK-260-LCR-D,tht,True
122.6594,-60.6067,0.0,top,U1,,DIP-28_W7.62mm,ATmega328P-P,tht,True
117.5543,-55.2909,0.0,top,U2,,17861650001,178.6165.0001,tht,True
138.5753,-69.1,180.0,bottom,U3,,SOIC-8_3.9x4.9mm_P1.27mm,MCP2551-I-SN,smt,True
109.0546,-73.8184,180.0,bottom,U4,,SOIC-18W_7.5x11.6mm_P1.27mm,MCP2515-xSO,smt,True
135.0999,-82.7909,0.0,top,Y1,,Crystal_HC49-U_Vertical,16MHz,tht,True
135.1248,-73.5365,0.0,top,Y2,,Crystal_HC49-U_Vertical,16MHz,tht,True
